n	l	d	nz	d1	w1	d2	w2	W	d0	d200
3	18000	500	18	40	2.0	10	2			
3	18000	500	18	40	2.3	10	2			
3	18000	500	18	40	2.6	10	2			
3	18000	600	18	40	2.0	10	2			
3	18000	600	18	40	2.3	10	2			
3	18000	600	18	40	2.6	10	2			
3	18000	700	18	40	2.0	10	2			
3	18000	700	18	40	2.3	10	2			
3	18000	700	18	40	2.6	10	2			
3	18000	800	18	40	2.0	10	2			
3	18000	800	18	40	2.3	10	2			
3	18000	800	18	40	2.6	10	2
3	18000	500	18	40	2.0	15	2			
3	18000	500	18	40	2.3	15	2			
3	18000	500	18	40	2.6	15	2			
3	18000	600	18	40	2.0	15	2			
3	18000	600	18	40	2.3	15	2			
3	18000	600	18	40	2.6	15	2			
3	18000	700	18	40	2.0	15	2			
3	18000	700	18	40	2.3	15	2			
3	18000	700	18	40	2.6	15	2			
3	18000	800	18	40	2.0	15	2			
3	18000	800	18	40	2.3	15	2			
3	18000	800	18	40	2.6	15	2
3	18000	500	12	40	2.0	10	2			
3	18000	500	12	40	2.3	10	2			
3	18000	500	12	40	2.6	10	2			
3	18000	600	12	40	2.0	10	2			
3	18000	600	12	40	2.3	10	2			
3	18000	600	12	40	2.6	10	2			
3	18000	700	12	40	2.0	10	2			
3	18000	700	12	40	2.3	10	2			
3	18000	700	12	40	2.6	10	2			
3	18000	800	12	40	2.0	10	2			
3	18000	800	12	40	2.3	10	2			
3	18000	800	12	40	2.6	10	2
3	18000	500	12	40	2.0	15	2			
3	18000	500	12	40	2.3	15	2			
3	18000	500	12	40	2.6	15	2			
3	18000	600	12	40	2.0	15	2			
3	18000	600	12	40	2.3	15	2			
3	18000	600	12	40	2.6	15	2			
3	18000	700	12	40	2.0	15	2			
3	18000	700	12	40	2.3	15	2			
3	18000	700	12	40	2.6	15	2			
3	18000	800	12	40	2.0	15	2			
3	18000	800	12	40	2.3	15	2			
3	18000	800	12	40	2.6	15	2
3	18000	500	18	48	2.0	10	2			
3	18000	500	18	48	2.3	10	2			
3	18000	500	18	48	2.6	10	2			
3	18000	600	18	48	2.0	10	2			
3	18000	600	18	48	2.3	10	2			
3	18000	600	18	48	2.6	10	2			
3	18000	700	18	48	2.0	10	2			
3	18000	700	18	48	2.3	10	2			
3	18000	700	18	48	2.6	10	2			
3	18000	800	18	48	2.0	10	2			
3	18000	800	18	48	2.3	10	2			
3	18000	800	18	48	2.6	10	2
3	18000	500	18	48	2.0	15	2			
3	18000	500	18	48	2.3	15	2			
3	18000	500	18	48	2.6	15	2			
3	18000	600	18	48	2.0	15	2			
3	18000	600	18	48	2.3	15	2			
3	18000	600	18	48	2.6	15	2			
3	18000	700	18	48	2.0	15	2			
3	18000	700	18	48	2.3	15	2			
3	18000	700	18	48	2.6	15	2			
3	18000	800	18	48	2.0	15	2			
3	18000	800	18	48	2.3	15	2			
3	18000	800	18	48	2.6	15	2
3	18000	500	12	48	2.0	10	2			
3	18000	500	12	48	2.3	10	2			
3	18000	500	12	48	2.6	10	2			
3	18000	600	12	48	2.0	10	2			
3	18000	600	12	48	2.3	10	2			
3	18000	600	12	48	2.6	10	2			
3	18000	700	12	48	2.0	10	2			
3	18000	700	12	48	2.3	10	2			
3	18000	700	12	48	2.6	10	2			
3	18000	800	12	48	2.0	10	2			
3	18000	800	12	48	2.3	10	2			
3	18000	800	12	48	2.6	10	2
3	18000	500	12	48	2.0	15	2			
3	18000	500	12	48	2.3	15	2			
3	18000	500	12	48	2.6	15	2			
3	18000	600	12	48	2.0	15	2			
3	18000	600	12	48	2.3	15	2			
3	18000	600	12	48	2.6	15	2			
3	18000	700	12	48	2.0	15	2			
3	18000	700	12	48	2.3	15	2			
3	18000	700	12	48	2.6	15	2			
3	18000	800	12	48	2.0	15	2			
3	18000	800	12	48	2.3	15	2			
3	18000	800	12	48	2.6	15	2
